BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
1886970,0010041222927,jcbk,ncfic,J ROWLING,05/16/2005 02:10:00 PM
2277368,0010051162823,jcbk,ccfic,J ROWLING2005,09/01/2005 01:03:00 PM
1894708,0010047571731,jcbk,ncfic,J ROWLING,07/29/2005 11:37:00 AM
2277368,0010051162286,jcbk,ccfic,J ROWLING2005,09/14/2005 04:54:00 PM
2277368,0010051165685,jcbk,ncfic,J ROWLING2005,07/29/2005 02:04:00 PM
2277368,0010051162229,jcbk,ccfic,J ROWLING2005,09/24/2005 03:54:00 PM
1842723,0010047073167,jcbk,ncfic,J ROWLING,12/07/2005 02:38:00 PM
2176667,0010045792685,jcbk,ncfic,J ROWLING,09/06/2005 03:36:00 PM
2277368,0010051163466,jcbk,ncfic,J ROWLING2005,10/12/2005 12:27:00 PM
2277368,0010051158250,jcbk,ccfic,J ROWLING2005,09/23/2005 02:28:00 PM
2277368,0010051164316,jcbk,ccfic,J ROWLING2005,09/23/2005 11:30:00 AM
2027533,0010039702641,jcbk,ccfic,J ROWLING,04/13/2005 04:36:00 PM
2027533,0010039703011,jcbk,ncpb,J ROWLING,05/18/2005 04:20:00 PM
2205013,0010047948350,jcbk,nclp,J ROWLING,06/06/2005 07:50:00 PM
2277368,0010051165958,jcbk,ccfic,J ROWLING2005,07/16/2005 09:33:00 AM
2176667,0010046005756,jcbk,ncfic,J ROWLING,08/30/2005 05:14:00 PM
1965109,0010038943436,jcbk,ccfic,J ROWLING,06/04/2005 12:36:00 PM
2277368,0010051165867,jcbk,ccfic,J ROWLING2005,07/28/2005 12:03:00 PM
1894708,0010047571723,jcbk,ncfic,J ROWLING,12/07/2005 07:52:00 PM
2027533,0010039702781,jcbk,ncfic,J ROWLING,10/14/2005 02:41:00 PM
2277368,0010051161320,jcbk,ccfic,J ROWLING2005,11/29/2005 11:30:00 AM
2277368,0010051162328,jcbk,ccfic,J ROWLING2005,08/18/2005 03:12:00 PM
2005792,0010045088910,jcbk,nclp,J ROWLING,11/22/2005 04:29:00 PM
1894708,0010049436727,jcbk,ncfic,J ROWLING,08/02/2005 04:22:00 PM
1886970,0010041223180,jcbk,ncfic,J ROWLING,08/08/2005 04:36:00 PM
2277368,0010051161940,jcbk,ccfic,J ROWLING2005,08/26/2005 05:15:00 PM
1842723,0010049499527,jcbk,ncfic,J ROWLING,08/15/2005 02:22:00 PM
1894708,0010047571814,jcbk,ncfic,J ROWLING,06/20/2005 01:24:00 PM
2277368,0010051165586,jcbk,ncfic,J ROWLING2005,07/18/2005 03:28:00 PM
1965109,0010040777954,jcbk,ncfic,J ROWLING,08/25/2005 10:47:00 AM
2277368,0010051165990,jcbk,ccfic,J ROWLING2005,12/16/2005 03:50:00 PM
2277368,0010051162849,jcbk,ncfic,J ROWLING2005,12/06/2005 07:17:00 PM
2277368,0010051161221,jcbk,ccfic,J ROWLING2005,10/08/2005 05:15:00 PM
1894708,0010049436701,jcbk,ncfic,J ROWLING,10/22/2005 01:02:00 PM
2304178,0010052005435,jcbk,nclp,J ROWLING,11/05/2005 02:58:00 PM
2005792,0010045088928,jcbk,nalpnew,J ROWLING,11/17/2005 03:54:00 PM
2176667,0010045792206,jcbk,ccfic,J ROWLING,06/22/2005 01:56:00 PM
2176667,0010045997805,jcbk,ncfic,J ROWLING,07/11/2005 07:53:00 PM
1842723,0010045701983,jcbk,ncfic,J ROWLING,11/09/2005 02:44:00 PM
2277368,0010051162336,jcbk,ccfic,J ROWLING2005,09/22/2005 04:10:00 PM
1965109,0010048375884,jcbk,ncfic,J ROWLING,09/03/2005 05:44:00 PM
2277368,0010051162344,jcbk,ccfic,J ROWLING2005,10/14/2005 11:44:00 AM
1886970,0010041223446,jcbk,ncfic,J ROWLING,09/27/2005 01:51:00 PM
1886970,0010051806486,jcbk,ncfic,J ROWLING,06/20/2005 01:24:00 PM
2304178,0010054136873,jcbk,nclp,J ROWLING,11/04/2005 04:42:00 PM
2277368,0010051161718,jcbk,ncfic,J ROWLING2005,07/30/2005 05:33:00 PM
2277368,0010051162112,jcbk,ccfic,J ROWLING2005,09/27/2005 03:21:00 PM
2277368,0010051161585,jcbk,ccfic,J ROWLING2005,10/03/2005 01:58:00 PM
1894708,0010047571723,jcbk,ncfic,J ROWLING,07/22/2005 12:58:00 PM
2277368,0010051162245,jcbk,ccfic,J ROWLING2005,07/27/2005 10:37:00 AM
2277368,0010051165669,jcbk,ncfic,J ROWLING2005,10/15/2005 05:09:00 PM
1965109,0010048375868,jcbk,ncfic,J ROWLING,07/16/2005 04:15:00 PM
2176667,0010046005616,jcbk,ncfic,J ROWLING,07/20/2005 06:47:00 PM
1920281,0010041758219,acbk,nalpfic,J ROWLING,05/20/2005 12:51:00 PM
1894708,0010047571715,jcbk,ncfic,J ROWLING,10/22/2005 05:42:00 PM
2277368,0010051161726,jcbk,ncfic,J ROWLING2005,09/28/2005 03:03:00 PM
2277368,0010051163557,jcbk,ccfic,J ROWLING2005,10/15/2005 02:32:00 PM
2277368,0010051162757,jcbk,ncfic,J ROWLING2005,11/19/2005 02:31:00 PM
2277368,0010051161338,jcbk,ncfic,J ROWLING2005,09/20/2005 02:01:00 PM
1920281,0010041758185,acbk,nalpfic,J ROWLING,10/09/2005 04:22:00 PM
2277368,0010051162740,jcbk,ccfic,J ROWLING2005,08/03/2005 06:27:00 PM
2277368,0010051162880,jcbk,ncnew,J ROWLING2005,12/29/2005 04:35:00 PM
2277368,0010051165636,jcbk,ncfic,J ROWLING2005,09/20/2005 06:21:00 PM
2277368,0010051165982,jcbk,ncfic,J ROWLING2005,11/17/2005 11:35:00 AM
1886970,0010036816923,jcbk,ncfic,J ROWLING,07/16/2005 03:58:00 PM
2277368,0010051163441,jcbk,ccfic,J ROWLING2005,09/06/2005 04:06:00 PM
1894708,0010047571665,jcbk,ncfic,J ROWLING,07/27/2005 11:47:00 AM
2277368,0010051164415,jcbk,ccfic,J ROWLING2005,08/11/2005 05:32:00 PM
2277368,0010051165677,jcbk,ccfic,J ROWLING2005,09/19/2005 04:20:00 PM
1965109,0010051807161,jcbk,ncfic,J ROWLING,08/11/2005 03:23:00 PM
2277368,0010051165867,jcbk,ccfic,J ROWLING2005,08/24/2005 04:18:00 PM
1965109,0010038943857,jcbk,ncfic,J ROWLING,06/24/2005 04:05:00 PM
2176667,0010045792529,jcbk,ccfic,J ROWLING,11/22/2005 01:50:00 PM
1965109,0010038944053,jcbk,ncfic,J ROWLING,06/12/2005 03:43:00 PM
2277368,0010051161338,jcbk,ncfic,J ROWLING2005,11/07/2005 07:33:00 PM
1894708,0010041168807,jcbk,ncfic,J ROWLING,12/06/2005 04:35:00 PM
1894708,0010045702049,jcbk,ncfic,J ROWLING,12/09/2005 10:25:00 AM
1842723,0010045701769,jcbk,ncfic,J ROWLING,08/31/2005 03:41:00 PM
2277368,0010051166055,jcbk,ccfic,J ROWLING2005,09/18/2005 02:16:00 PM
1842723,0010045701728,jcbk,ccfic,J ROWLING,06/04/2005 03:23:00 PM
2277368,0010051161908,jcbk,ccfic,J ROWLING2005,09/26/2005 06:28:00 PM
2277368,0010051164498,jcbk,ncnew,J ROWLING2005,12/14/2005 06:08:00 PM
2277368,0010051161395,jcbk,ccfic,J ROWLING2005,10/12/2005 07:22:00 PM
1842723,0010047883771,jcbk,ncfic,J ROWLING,08/04/2005 10:21:00 AM
1842723,0010031591224,jcbk,ncfic,J ROWLING,06/23/2005 03:53:00 PM
2205013,0010047948350,jcbk,nclp,J ROWLING,06/21/2005 03:29:00 PM
2277368,0010051164456,jcbk,ccfic,J ROWLING2005,10/26/2005 11:35:00 AM
2277368,0010051158284,jcbk,ccfic,J ROWLING2005,09/08/2005 11:08:00 AM
2176667,0010045792412,jcbk,ncfic,J ROWLING,12/14/2005 02:20:00 PM
1894708,0010049436552,jcbk,ncfic,J ROWLING,08/04/2005 03:09:00 PM
2277368,0010051165792,jcbk,ccfic,J ROWLING2005,10/03/2005 10:12:00 AM
2277368,0010051161577,jcbk,ccfic,J ROWLING2005,10/29/2005 05:00:00 PM
2176667,0010045997383,jcbk,ncfic,J ROWLING,12/17/2005 04:01:00 PM
1842723,0010031591190,jcbk,ncfic,J ROWLING,06/17/2005 01:00:00 PM
2176667,0010045792461,jcbk,ncfic,J ROWLING,10/30/2005 01:21:00 PM
1894708,0010040773169,jcbk,ncfic,J ROWLING,11/26/2005 05:54:00 PM
2277368,0010051162716,jcbk,ccfic,J ROWLING2005,07/20/2005 03:00:00 PM
1894708,0010047571681,jcbk,ncfic,J ROWLING,04/29/2005 03:27:00 PM
1886970,0010041223222,jcbk,ncfic,J ROWLING,06/08/2005 07:52:00 PM
2277368,0010051161676,jcbk,ccfic,J ROWLING2005,07/16/2005 09:35:00 AM
1965109,0010038942917,jcbk,ccfic,J ROWLING,10/29/2005 02:04:00 PM
2176667,0010045997805,jcbk,ncfic,J ROWLING,04/23/2005 03:33:00 PM
2277368,0010051162864,jcbk,ncfic,J ROWLING2005,07/27/2005 11:15:00 AM
1886970,0010051912128,jcbk,ccfic,J ROWLING,09/13/2005 04:29:00 PM
2277368,0010051162112,jcbk,ccfic,J ROWLING2005,09/13/2005 07:11:00 PM
