BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
2410427,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.","0545010225, 0545029368, 9780545010221, 9780545029360",2007.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, England Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction",jcbk,ncfic,NA,cap,09/01/2017,2
3211483,"Harry Potter and the deathly hallows. Part 2 [videorecording] / Warner Bros. Pictures ; a Heyday Films production ; screenplay by Steve Kloves ; produced by David Heyman, David Barron, J.K. Rowling ; directed by David Yates.",,"0780662040, 0780674316, 9780780662049, 9780780674318",©2011.,"Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards Drama, Magic Drama, Action and adventure films, Fantasy films, Fiction films, Feature films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,nga,09/01/2017,1
2176667,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary Grandpré.,"Rowling, J. K.","043935806X, 9780439358064",2003.,"Scholastic,","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,hip,09/01/2017,1
2557026,"The Lexicon : an unauthorized guide to Harry Potter fiction and related material / Steve Vander Ark, with John Kearns, Lisa Waite Bunker, Belinda Hobbs.","Vander Ark, Steve","1571431748, 9781571431745",c2009.,"RDR Books,","Rowling J K Characters Juvenile literature, Rowling J K Stories plots etc Juvenile literature, Potter Harry Fictitious character Miscellanea Juvenile literature",acbk,nanf,NA,lcy,09/01/2017,1
3203413,Harry Potter à l'école des sorciers / J.K. Rowling ; traduit de l'anglais par Jean-François Ménard.,"Rowling, J. K.","2070612368, 2070643026, 9782070612369, 9782070643028",©2007.,"Gallimard Jeunesse,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, England Juvenile fiction, Wizards Fiction, Magic Fiction, Schools Fiction, England Fiction, French language materials",jcbk,ccln,NA,cen,09/01/2017,2
2277368,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.",0439784549,c2005.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,dth,09/01/2017,2
2603092,Harry Potter and the sorcerer's stone [videorecording] / Warner Bros. Pictures ; a Heyday Films/1492 Pictures/Duncan Henderson production ; screenplay by Steve Kloves ; produced by David Heyman ; directed by Chris Columbus.,,"0780674316, 1419856995, 9780780674318, 9781419856990",[2007],"Distributed by Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards England Drama, Magic England Drama, Schools England Drama, Friendship Drama, Feature films, Fantasy films, Action and adventure films, Childrens films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,glk,09/01/2017,1
2410427,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.","0545010225, 0545029368, 9780545010221, 9780545029360",2007.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, England Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction",jcbk,ncfic,NA,gwd,09/01/2017,2
1965109,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.","0439139597, 9780439139595",2000.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,mag,09/01/2017,1
2661886,"Harī pottā to shi no hihō. Ue, = Harry Potter and the deathly hallows / Rowling J.K., saku ; Matsuoka Yūko, yaku.","Rowling, J. K.","4915512649, 9784915512636, 9784915512643",2010.,"Seizansha,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Schools Fiction, England Juvenile fiction",jcbk,ccln,NA,cen,09/01/2017,1
